Genus,Mean_Abundance
Bacteroides,0.11952588537544391
Bifidobacterium,0.07968517057246297
Lactobacillus,0.04617595859509894
Ruminococcus_E,0.0410990962513831
Dialister,0.039670244358513365
Eubacterium_R,0.03959465234165012
Enterococcus,0.03890664136400712
Roseburia,0.037813527475864445
Streptococcus,0.03703834135496747
Prevotella,0.03682435941412456
Turicibacter,0.034210839198662434
Escherichia,0.03336686753222634
Veillonella,0.03278470781149407
Ruminococcus_D,0.03237754103878895
Phocaeicola_A,0.03227545224963747
Alistipes,0.03214751917948566
Phascolarctobacterium,0.03074175017888317
Akkermansia,0.030364003529575124
Clostridium,0.02967791185344697
Faecalibacterium,0.0295276709918181
Brachyspira,0.029076213146118544
Clostridium_A,0.028628614189379155
Merdibacter,0.028223378594041542
Scatocola,0.02759580750615738
Parabacteroides,0.026737575587100774
Phocaeicola,0.02593027030966826
