Order,Mean_Abundance
Bacteroidales,0.27344106211546065
Oscillospirales,0.17122757481301942
Lactobacillales,0.12212094131407353
Actinomycetales,0.07968517057246297
Veillonellales,0.07245495217000744
Lachnospirales,0.037813527475864445
Haloplasmatales,0.034210839198662434
Enterobacterales,0.03336686753222634
Acidaminococcales,0.03074175017888317
Verrucomicrobiales,0.030364003529575124
Clostridiales,0.02967791185344697
Brachyspirales,0.029076213146118544
Erysipelotrichales,0.028223378594041542
RF32,0.02759580750615738
